name,colours,geometry
Peterborough,1,"[[-0.03127071465902824,52.66153273942162],[-0.012751866391942935,52.59424622362273],[-0.18698021664240447,52.568506744881745],[-0.19787338206136312,52.55080582599335],[-0.18785002051833427,52.54186309341134],[-0.2003983955768953,52.54521584254954],[-0.21766398953364388,52.53792351126597],[-0.23483670109746047,52.54366709289734],[-0.24478049947035596,52.5229988601434],[-0.26929484475725735,52.520824564534784],[-0.2932896443329601,52.506889103699145],[-0.3327358173167375,52.54654543282011],[-0.3254584300194887,52.552889026805296],[-0.3484775416107733,52.5643700838577],[-0.38545110069963295,52.567189706753865],[-0.3968397437559827,52.58299833332485],[-0.4153814355529951,52.57874263477633],[-0.4788149011188952,52.573645142028575],[-0.4926648928511097,52.581900258328055],[-0.4709212124268674,52.62355933304122],[-0.4947734845180449,52.64031406767201],[-0.45269462029582014,52.65427765897074],[-0.4056812975354383,52.648046092230615],[-0.3502223705134499,52.66161467970635],[-0.3350370580995205,52.67486596708618],[-0.2892403700980085,52.67027618281089],[-0.26075394175497874,52.65141797311088],[-0.21250136445030596,52.66667948829494],[-0.1928678454177031,52.65243850633094],[-0.1800201364356373,52.66056115384374],[-0.1410620277619601,52.65150741923283],[-0.10219598969954537,52.67220618986561],[-0.0877525361070279,52.66678608809539],[-0.06371384581370222,52.67523309003843],[-0.03127071465902824,52.66153273942162]]"
Cambridgeshire,2,"[[0.17162603543403337,52.73803169729046],[0.1535706690346334,52.68222317901484],[0.1847165888224964,52.677894662046214],[0.1838417475803726,52.655662069418206],[0.16992531002896424,52.65043548944762],[0.2193000583793544,52.62181241803975],[0.19159741492893348,52.59896063115358],[0.2184118693567674,52.57259912700438],[0.20563149996462954,52.565569131819316],[0.21723842956183967,52.56059399667119],[0.2047083283954268,52.554656161230554],[0.20513984622605322,52.547900878863445],[0.21462561250256224,52.549106656999335],[0.2038717129163504,52.54540505305892],[0.21314497746855446,52.53817169620782],[0.20584734170980604,52.53385081079473],[0.23059118059801387,52.52790993956597],[0.2061233101293246,52.51963511708428],[0.2363191094336692,52.50729056492441],[0.24604086660190122,52.49989129653249],[0.25647632851725843,52.50771428740967],[0.3093606242233949,52.51362226930477],[0.3670621366426724,52.50117378034391],[0.3807063803301914,52.47953945439336],[0.428529064187315,52.45465261032566],[0.4293440672744082,52.436426664855865],[0.3747773914430313,52.40972886093115],[0.40761701428366026,52.3615737934779],[0.4425011749689407,52.34883154698368],[0.4242216036064308,52.32921635998791],[0.43137660107084885,52.3158254261371],[0.45761794524352023,52.31625092785614],[0.5047687236449547,52.284715606537446],[0.49880290302953617,52.27302138762909],[0.4242063113598236,52.255871569475104],[0.38272302727902385,52.29326624592659],[0.3589972183479494,52.29754271746111],[0.3400024815850229,52.26768786091938],[0.3608929456159175,52.24942238434963],[0.3426840676004364,52.24234334164169],[0.37124884575640454,52.22655615567332],[0.4213350010595887,52.2396913165373],[0.4145177723251647,52.24786113346987],[0.4269647721358444,52.25360276359502],[0.48033721466512036,52.23268192241409],[0.49493146438235036,52.23925801635558],[0.514484010697612,52.22677940316849],[0.5125668342012876,52.2150504361807],[0.49133281192192363,52.165102027850246],[0.47073029850120623,52.16325884691876],[0.45219133882929685,52.173204242021725],[0.43591577263487713,52.15949508929736],[0.417276386743119,52.15930667970039],[0.4182829763547626,52.13435562917623],[0.389589755029296,52.11747057721022],[0.38180377810273003,52.10270128972008],[0.39499675514146215,52.09596812501749],[0.4046382321166281,52.06550237583736],[0.3796127978349716,52.049562710073104],[0.3896953414157591,52.036466589707324],[0.3459593118554778,52.04971701540695],[0.3246739545790887,52.07278328274067],[0.2860117340190089,52.09040764661099],[0.27622893040436025,52.09263829889505],[0.25157301134144355,52.07678614153648],[0.23520797205034394,52.08900004565055],[0.2034593686642031,52.09267415062282],[0.18319433227508775,52.07318345057882],[0.18992204043350294,52.06020139151001],[0.1675702464922993,52.054999806689615],[0.1663961119201339,52.04819077624315],[0.1511169237846557,52.052851797153565],[0.12813516822310836,52.047322566799124],[0.11907748434026999,52.059962582775086],[0.1057361819133541,52.060261102226455],[0.09225430632909296,52.021653984058034],[0.06812738887605624,52.005788734173585],[0.04030635469876572,52.05332728682229],[0.004082720645919493,52.04979277904563],[-0.01928051891453064,52.0635355794619],[-0.1265675335334131,52.02092187084496],[-0.13372989694068735,52.046232847587255],[-0.15512106432156203,52.05306109472507],[-0.1475055237350956,52.06940310681698],[-0.15728090153692703,52.08054719528268],[-0.14444506560514322,52.13820375226825],[-0.1543523792041727,52.144407921285385],[-0.17153476594718495,52.1395025858862],[-0.23480407408526924,52.144726753138045],[-0.21662435483857176,52.15873553876548],[-0.26069411849544105,52.176401416681564],[-0.24978517969855402,52.18437102201949],[-0.24072303480983262,52.190193138617325],[-0.26184521874874267,52.20986691598716],[-0.2962844091266552,52.210487090058685],[-0.2856136782114883,52.23727706353728],[-0.2932090202332655,52.24051617591819],[-0.3352494438021031,52.24288180261215],[-0.34346889047558005,52.24187441578978],[-0.34101087152679976,52.23064748857573],[-0.37437571179757584,52.23299828324201],[-0.3823412292398558,52.27112565135365],[-0.3721751009780105,52.273499847939085],[-0.3750099990514428,52.280469373176636],[-0.42176747026418265,52.284947493269],[-0.4357611430222381,52.29665687485687],[-0.43608868604395684,52.314470840768514],[-0.4653657889091264,52.32295327600976],[-0.4666567700173337,52.33892757118432],[-0.4832642237041374,52.34090329220835],[-0.47768245650654817,52.34891998648003],[-0.49869987064399557,52.36009583359839],[-0.4885188468580546,52.37402353670788],[-0.49594629884242597,52.37951552504979],[-0.44150989548107994,52.38499642922981],[-0.4170728631972695,52.41159910582189],[-0.36240807355399707,52.43353127298927],[-0.3702170679179746,52.439930266355674],[-0.34159052507978854,52.46694262235822],[-0.3593996121502315,52.48985906411833],[-0.35434523595786477,52.506495067346464],[-0.4136026721074033,52.52567960866864],[-0.4012833284968158,52.538684677511434],[-0.41959382016514135,52.55896195005154],[-0.40729095247877756,52.56405484982134],[-0.4153814355529951,52.57874263477633],[-0.3968397437559827,52.58299833332485],[-0.38545110069963295,52.567189706753865],[-0.3484775416107733,52.5643700838577],[-0.3254584300194887,52.552889026805296],[-0.3327358173167375,52.54654543282011],[-0.2932896443329601,52.506889103699145],[-0.26929484475725735,52.520824564534784],[-0.24478049947035596,52.5229988601434],[-0.23483670109746047,52.54366709289734],[-0.21766398953364388,52.53792351126597],[-0.2003983955768953,52.54521584254954],[-0.18785002051833427,52.54186309341134],[-0.19787338206136312,52.55080582599335],[-0.18698021664240447,52.568506744881745],[-0.012751866391942935,52.59424622362273],[-0.03127071465902824,52.66153273942162],[0.021500319573076326,52.66488728397786],[0.04856636876027168,52.681401655763175],[0.044149443038419715,52.71438234520539],[0.0636265878329154,52.72739150508226],[0.08901166245068105,52.72363016162528],[0.13297527788523894,52.73930447285825],[0.17162603543403337,52.73803169729046]]"
Norfolk,3,"[[1.7404606015133692,52.53210412748522],[1.7260039358653214,52.530642207566466],[1.7020075776351105,52.54466068572089],[1.667714006110954,52.55024467738493],[1.6285821622034589,52.52601805047538],[1.6542797113049392,52.50141664619886],[1.6720806466587772,52.503866710979004],[1.682471825420213,52.495050565634585],[1.6588270737433999,52.46840447150908],[1.6465487142845938,52.472003146081136],[1.6345424833610787,52.46295451011578],[1.618504546852621,52.46327747949721],[1.586189488284066,52.47869342749581],[1.5680200475913624,52.474630869768006],[1.557823114285337,52.45769648231516],[1.529730097322709,52.46834733319495],[1.5080217138779528,52.461752280187596],[1.480743027981546,52.47189239537454],[1.4461695856474992,52.45600791548648],[1.4201498217773256,52.47104664094522],[1.4110178743626949,52.4615967731455],[1.4332683890861257,52.45595974009881],[1.4325922183381794,52.445341918519404],[1.4079138615502442,52.444409313673994],[1.3636575930334427,52.42747851369179],[1.3471009799137228,52.4044110186949],[1.3163031699332244,52.3873912275028],[1.2862347188457064,52.39068965768677],[1.2599966025626521,52.37109937653761],[1.2138673947396312,52.35539043935509],[1.0681858715537602,52.37852114309382],[1.0299569984004744,52.378735466966006],[0.9674711029107959,52.37011277973633],[0.9302321084763844,52.3888382197623],[0.866007507334409,52.39046399702781],[0.8542256272056463,52.39959201730485],[0.7846692356869016,52.38623101177608],[0.7659660694689725,52.390357493806114],[0.7498442220244192,52.3829264955535],[0.7375890267235866,52.39513831674444],[0.7124377446057342,52.39462305452123],[0.6684633654886138,52.40917574845278],[0.7187933271327029,52.449647201771356],[0.6839733574290615,52.453164949544096],[0.6663225602201849,52.46250834213349],[0.6418327636406262,52.45096499509475],[0.5825010485956709,52.45186136638791],[0.554704749215508,52.456025183813466],[0.5236624488031393,52.448179573912476],[0.4455386688805589,52.44737177627161],[0.4293440672744082,52.436426664855865],[0.428529064187315,52.45465261032566],[0.3807063803301914,52.47953945439336],[0.3670621366426724,52.50117378034391],[0.3093606242233949,52.51362226930477],[0.25647632851725843,52.50771428740967],[0.24604086660190122,52.49989129653249],[0.2363191094336692,52.50729056492441],[0.2061233101293246,52.51963511708428],[0.23059118059801387,52.52790993956597],[0.20584734170980604,52.53385081079473],[0.21314497746855446,52.53817169620782],[0.2038717129163504,52.54540505305892],[0.21462561250256224,52.549106656999335],[0.20513984622605322,52.547900878863445],[0.2047083283954268,52.554656161230554],[0.21723842956183967,52.56059399667119],[0.20563149996462954,52.565569131819316],[0.2184118693567674,52.57259912700438],[0.19159741492893348,52.59896063115358],[0.2193000583793544,52.62181241803975],[0.16992531002896424,52.65043548944762],[0.1838417475803726,52.655662069418206],[0.1847165888224964,52.677894662046214],[0.1535706690346334,52.68222317901484],[0.17162603543403337,52.73803169729046],[0.18632316603505553,52.73534862703466],[0.2722085227842248,52.77280635734452],[0.2450844290525646,52.7845238025941],[0.2671062570452284,52.81584179116671],[0.3316422115150474,52.81800698497466],[0.3512601789830057,52.80981877347326],[0.3666356835991181,52.79111975073722],[0.37098824190774055,52.783886470602525],[0.3743032564338901,52.77837590543135],[0.3711156672591286,52.786229950172995],[0.3670790561436173,52.796172301682766],[0.35776465791630113,52.812548155527764],[0.3730077991065424,52.82098922582778],[0.42207446724980546,52.84812444440982],[0.44491588552689343,52.85326075743135],[0.44538417782915257,52.8737270673929],[0.480023055689296,52.93152031648233],[0.4867482441920493,52.94272135920755],[0.5409407223401294,52.97490913594549],[0.5626664026373639,52.97659262578465],[0.571485117684354,52.96790843083061],[0.5864174876655179,52.97317189269827],[0.6040119152597394,52.967593110114436],[0.5900817605987724,52.976711360788954],[0.6178556168385512,52.97363361267406],[0.6162875852234174,52.96851133317606],[0.6199212200451131,52.97377515323342],[0.6740374550987577,52.97615989537214],[0.6675673492765962,52.970151241949225],[0.6792611171121979,52.97355496999949],[0.6951418661712958,52.978174701413494],[0.708703929803829,52.974094950577374],[0.7316534100608074,52.97224486816311],[0.7373579669117938,52.964321490504574],[0.7578739381799152,52.96934639306617],[0.7613328618160833,52.97582501603254],[0.751212201852577,52.97693292534082],[0.781427461388219,52.97721778117456],[0.7822221350379533,52.977036167841916],[0.8137825758235527,52.96981790827588],[0.8137854498447094,52.977383997161496],[0.8517282372815553,52.97342022338418],[0.8511016463421172,52.95769580140191],[0.8704765555165525,52.95493259462647],[0.8752476463274431,52.96018860946192],[0.9177790819956829,52.96042841515913],[0.9196988291735536,52.96564553479989],[0.935391940625314,52.95884164466311],[0.9764671522671148,52.963032805737534],[0.9839844571308519,52.96379819703524],[1.0145075284239973,52.962999664652116],[1.0153703008216282,52.955479653397845],[1.0185948951134145,52.964104604233434],[1.0357694521517022,52.96710680476583],[0.9911928734772057,52.97631828456211],[0.9772684070975426,52.97468295328783],[0.957814061665342,52.9723953678769],[0.977098231182799,52.97999203853569],[1.1053991996239902,52.95555437502725],[1.130262559849122,52.950663498487614],[1.2694798357110864,52.93891773958605],[1.2724646758367333,52.93815484324273],[1.3252547119876126,52.92464551019712],[1.4017692069141252,52.8949617223546],[1.4331427851941452,52.88150195958018],[1.5600016949023399,52.81399279586418],[1.581542694466685,52.802495732455405],[1.6749425961987168,52.74259727184227],[1.6965075541680954,52.722319030733736],[1.699071829771418,52.719906057692654],[1.7010171520614947,52.7180753072011],[1.7328961478485585,52.65615013322955],[1.737476169347956,52.64700248176686],[1.739864105159735,52.57305390447822],[1.7300690298279369,52.58199353269676],[1.7325064055336759,52.572063895049745],[1.738654753472628,52.5719758432395],[1.7317942553435683,52.564714265735724],[1.733577849683527,52.55800556353089],[1.7328437839438813,52.556880987214456],[1.7390893356114308,52.53726327724103],[1.7404606015133692,52.53210412748522]],[[0.8699288332628551,52.958068411009705],[0.8524029155467722,52.95812412788161],[0.8674619911467443,52.9794065046155],[0.9112423472293025,52.96543829419542],[0.9010608588461707,52.961690145018316],[0.8731199985396483,52.96103674183217],[0.8699288332628551,52.958068411009705]],[[0.6961663735601165,52.987620966985496],[0.7510832803366053,52.97846729534143],[0.7144977606878069,52.97704981657864],[0.6983743209926951,52.98410081131923],[0.6813278683773767,52.97745859987907],[0.683502814574906,52.98598744495494],[0.6800309167446911,52.985994447143085],[0.6622572974978497,52.98602873920166],[0.6800848677013013,52.98686704029104],[0.6961663735601165,52.987620966985496]]"
Suffolk,4,"[[1.7404606015133692,52.53210412748522],[1.7629415066737775,52.481179324572224],[1.761137499810853,52.476252562852885],[1.7563867602831236,52.47196736417059],[1.7576448537078506,52.476927689087454],[1.7395822897871478,52.453027527184],[1.7345743899094113,52.44797109541841],[1.728457767860187,52.399416642383585],[1.7247524854814116,52.39312795209963],[1.7006462961274191,52.360064316330174],[1.6920384512832591,52.34824420142065],[1.675526693097221,52.31341784986082],[1.6676858283805216,52.31177121629446],[1.667189480510247,52.31166695810556],[1.6449900454519872,52.294749061587396],[1.6362532645328611,52.28020973021732],[1.6340974326410223,52.27809020202318],[1.6338662336183392,52.27623555183214],[1.631481163066221,52.272263842294194],[1.6208473375787331,52.18263980632304],[1.6193975328166763,52.17902759893156],[1.5809564310881117,52.08850704977141],[1.4997573713523455,52.06082852585371],[1.4862811128324116,52.056225829790485],[1.4998123647689272,52.06153215753614],[1.5501748799498731,52.081256495647565],[1.517956637630372,52.07587367691382],[1.508119611066675,52.07016288527835],[1.5013233068377678,52.07069658568571],[1.5004860247503895,52.070147529949246],[1.4623444272380297,52.045114799134474],[1.4338965182744619,52.00833985963658],[1.4312551384940442,52.00492179165016],[1.3948945529494194,51.987374109293604],[1.3885362834026482,51.999397005348335],[1.361575652887495,52.00619100206335],[1.391654995942559,51.98924839970256],[1.388881713012119,51.97836372400977],[1.3449202063508572,51.95692307810805],[1.3199745123575932,51.93326682147047],[1.3191982715695518,51.93668015327203],[1.3196837947381979,51.950542409039556],[1.2836535262304793,51.968504330689996],[1.282856518219284,51.96890135040156],[1.2827296982335268,51.970109335350315],[1.2803141191171783,51.99311437688641],[1.2154487621605816,52.00651435704935],[1.204353715094847,52.01105945424563],[1.1945374753428801,52.01507906731901],[1.1812926987155778,52.02050021299025],[1.17879500863711,52.021522215665705],[1.1602141049600943,52.03069744565893],[1.1535099225648004,52.03400634285652],[1.170904776255634,52.01571761950472],[1.172363769435706,52.01418287644952],[1.2035763467481502,52.000189941747166],[1.211532266226459,51.996620530767586],[1.2674208375342517,51.987803790329885],[1.2746626863132298,51.95750739923049],[1.270183295582318,51.9568274853293],[1.2429753805095007,51.96141273916726],[1.219720397913753,51.952871165452095],[1.2101795975911436,51.95599921574455],[1.2004160094254048,51.955896625810794],[1.1873352858460964,51.95575787055062],[1.1635426807103928,51.97052519045697],[1.1304180267124508,51.953555925516035],[1.086132104122478,51.958933110185264],[1.0669397788586559,51.949818690419484],[1.0477115683690597,51.95949833415236],[1.0247119592891627,51.95490235738344],[0.9987100601406721,51.963967331258125],[0.9709827195712663,51.962407753845184],[0.962589564622393,51.97716492617268],[0.9429109920066656,51.9706902909617],[0.9251687629542772,51.9761942302931],[0.8896879259840987,51.97338685329379],[0.8502400953793326,51.96076664216961],[0.8246500178809396,51.968549603830375],[0.8108771119979005,51.96069608422237],[0.781470127540149,51.96651276074496],[0.7722609957175294,51.970424507671865],[0.7746332979020676,51.98259161669657],[0.7596677053275014,51.98542910814129],[0.7611492332532114,51.99748328665922],[0.7385269443595165,52.01069863761676],[0.7406342526066082,52.03120154545779],[0.7143965610214118,52.02731876374529],[0.6965118387824367,52.0393021644955],[0.6994000330188215,52.048438084251615],[0.7162633467442704,52.04868719312993],[0.7031775342062915,52.065273245002174],[0.7121182195925592,52.07224246448499],[0.6842042095603303,52.08696863935897],[0.6569008700401997,52.0854416827353],[0.582132787328448,52.07585236846458],[0.5514873449099712,52.06881009921845],[0.5422629330710762,52.057759305628025],[0.5110537284460246,52.05983144723096],[0.5016787516462567,52.05385266335828],[0.4666668287056154,52.078455855548675],[0.4536225638085722,52.0681472822169],[0.4382784564132496,52.07233267247223],[0.4046382321166281,52.06550237583736],[0.39499675514146215,52.09596812501749],[0.38180377810273003,52.10270128972008],[0.389589755029296,52.11747057721022],[0.4182829763547626,52.13435562917623],[0.417276386743119,52.15930667970039],[0.43591577263487713,52.15949508929736],[0.45219133882929685,52.173204242021725],[0.47073029850120623,52.16325884691876],[0.49133281192192363,52.165102027850246],[0.5125668342012876,52.2150504361807],[0.514484010697612,52.22677940316849],[0.49493146438235036,52.23925801635558],[0.48033721466512036,52.23268192241409],[0.4269647721358444,52.25360276359502],[0.4145177723251647,52.24786113346987],[0.4213350010595887,52.2396913165373],[0.37124884575640454,52.22655615567332],[0.3426840676004364,52.24234334164169],[0.3608929456159175,52.24942238434963],[0.3400024815850229,52.26768786091938],[0.3589972183479494,52.29754271746111],[0.38272302727902385,52.29326624592659],[0.4242063113598236,52.255871569475104],[0.49880290302953617,52.27302138762909],[0.5047687236449547,52.284715606537446],[0.45761794524352023,52.31625092785614],[0.43137660107084885,52.3158254261371],[0.4242216036064308,52.32921635998791],[0.4425011749689407,52.34883154698368],[0.40761701428366026,52.3615737934779],[0.3747773914430313,52.40972886093115],[0.4293440672744082,52.436426664855865],[0.4455386688805589,52.44737177627161],[0.5236624488031393,52.448179573912476],[0.554704749215508,52.456025183813466],[0.5825010485956709,52.45186136638791],[0.6418327636406262,52.45096499509475],[0.6663225602201849,52.46250834213349],[0.6839733574290615,52.453164949544096],[0.7187933271327029,52.449647201771356],[0.6684633654886138,52.40917574845278],[0.7124377446057342,52.39462305452123],[0.7375890267235866,52.39513831674444],[0.7498442220244192,52.3829264955535],[0.7659660694689725,52.390357493806114],[0.7846692356869016,52.38623101177608],[0.8542256272056463,52.39959201730485],[0.866007507334409,52.39046399702781],[0.9302321084763844,52.3888382197623],[0.9674711029107959,52.37011277973633],[1.0299569984004744,52.378735466966006],[1.0681858715537602,52.37852114309382],[1.2138673947396312,52.35539043935509],[1.2599966025626521,52.37109937653761],[1.2862347188457064,52.39068965768677],[1.3163031699332244,52.3873912275028],[1.3471009799137228,52.4044110186949],[1.3636575930334427,52.42747851369179],[1.4079138615502442,52.444409313673994],[1.4325922183381794,52.445341918519404],[1.4332683890861257,52.45595974009881],[1.4110178743626949,52.4615967731455],[1.4201498217773256,52.47104664094522],[1.4461695856474992,52.45600791548648],[1.480743027981546,52.47189239537454],[1.5080217138779528,52.461752280187596],[1.529730097322709,52.46834733319495],[1.557823114285337,52.45769648231516],[1.5680200475913624,52.474630869768006],[1.586189488284066,52.47869342749581],[1.618504546852621,52.46327747949721],[1.6345424833610787,52.46295451011578],[1.6465487142845938,52.472003146081136],[1.6588270737433999,52.46840447150908],[1.682471825420213,52.495050565634585],[1.6720806466587772,52.503866710979004],[1.6542797113049392,52.50141664619886],[1.6285821622034589,52.52601805047538],[1.667714006110954,52.55024467738493],[1.7020075776351105,52.54466068572089],[1.7260039358653214,52.530642207566466],[1.7404606015133692,52.53210412748522]]"
